LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,run3DEM
"0","197",0.0651437538,657.0968590400,-73.5934399350,-50.6751559290,319.9150390600,319.9150390600
"0","198",0.0654234862,661.9708824900,-73.5937176350,-50.6751222700,315.0410156200,315.0410156200
"0","199",0.0657032186,669.8224449900,-73.5939953350,-50.6750886110,307.1894531200,307.1894531200
"0","200",0.0659829510,674.5919762500,-73.5942730350,-50.6750549520,302.4199218800,302.4199218800
"0","201",0.0662626835,679.7706871900,-73.5945507350,-50.6750212920,297.2412109400,297.2412109400
"0","202",0.0665424159,683.6124840800,-73.5948284350,-50.6749876330,293.3994140600,293.3994140600
"0","203",0.0668221483,688.1310387800,-73.5951061350,-50.6749539740,288.8808593800,288.8808593800
"0","204",0.0671018807,692.5558434700,-73.5953838350,-50.6749203150,284.4560546900,284.4560546900
"0","205",0.0673816131,696.7804528600,-73.5956615350,-50.6748866560,280.2314453100,280.2314453100
"0","206",0.0676613456,701.5284997400,-73.5959392350,-50.6748529970,275.4833984400,275.4833984400
"0","207",0.0676856281,701.5285240200,-73.5959633410,-50.6748500750,275.4833984400,275.4833984400
"0","208",0.0679730984,711.1847740300,-73.5962410410,-50.6747757660,265.8271484400,265.8271484400
"0","209",0.0682605686,715.2267662200,-73.5965187410,-50.6747014570,261.7851562500,261.7851562500
"0","210",0.0685480388,719.5636803000,-73.5967964410,-50.6746271480,257.4482421900,257.4482421900
"0","211",0.0688355091,728.6154381100,-73.5970741410,-50.6745528380,248.3964843800,248.3964843800
"0","212",0.0691229793,733.3322350000,-73.5973518410,-50.6744785290,243.6796875000,243.6796875000
"0","213",0.0694104495,739.1154381300,-73.5976295410,-50.6744042200,237.8964843800,237.8964843800
"0","214",0.0696979198,745.4591881400,-73.5979072410,-50.6743299110,231.5527343800,231.5527343800
"0","215",0.0699853900,757.4347740800,-73.5981849410,-50.6742556020,219.5771484400,219.5771484400
"0","216",0.0702728602,764.4211022100,-73.5984626410,-50.6741812930,212.5908203100,212.5908203100
"0","217",0.0705603305,770.8761803400,-73.5987403410,-50.6741069840,206.1357421900,206.1357421900
"0","218",0.0708478007,777.2658287800,-73.5990180410,-50.6740326750,199.7460937500,199.7460937500
"0","219",0.0711352709,787.9543053500,-73.5992957410,-50.6739583650,189.0576171900,189.0576171900
"0","220",0.0714227412,793.7638756700,-73.5995734410,-50.6738840560,183.2480468800,183.2480468800
"0","221",0.0717102114,800.9943444200,-73.5998511410,-50.6738097470,176.0175781200,176.0175781200
"0","222",0.0719976816,807.9914147400,-73.6001288410,-50.6737354380,169.0205078100,169.0205078100
"0","223",0.0722851519,818.6183678700,-73.6004065410,-50.6736611290,158.3935546900,158.3935546900
"0","224",0.0725726221,824.9084069400,-73.6006842410,-50.6735868200,152.1035156200,152.1035156200
"0","225",0.0728600923,831.3293053900,-73.6009619410,-50.6735125110,145.6826171900,145.6826171900
"0","226",0.0731475626,842.8117272600,-73.6012396410,-50.6734382020,134.2001953100,134.2001953100
"0","227",0.0734350328,850.0597741400,-73.6015173410,-50.6733638920,126.9521484400,126.9521484400
"0","228",0.0737225031,857.6613366500,-73.6017950410,-50.6732895830,119.3505859400,119.3505859400
"0","229",0.0740099733,865.1632897800,-73.6020727410,-50.6732152740,111.8486328100,111.8486328100
"0","230",0.0742974435,875.6515710300,-73.6023504410,-50.6731409650,101.3603515600,101.3603515600
"0","231",0.0745849138,883.7414147900,-73.6026281410,-50.6730666560,93.2705078120,93.2705078120
"0","232",0.0748723840,891.6681726100,-73.6029058410,-50.6729923470,85.3437500000,85.3437500000
"0","233",0.0751598542,900.1750085500,-73.6031835410,-50.6729180380,76.8369140620,76.8369140620
"0","234",0.0754473245,910.0207116800,-73.6034612410,-50.6728437290,66.9912109380,66.9912109380
"0","235",0.0757347947,917.8000085600,-73.6037389410,-50.6727694190,59.2119140620,59.2119140620
"0","236",0.0760222649,924.5265710700,-73.6040166410,-50.6726951100,52.4853515620,52.4853515620
"0","237",0.0763097352,929.9230554500,-73.6042943410,-50.6726208010,47.0888671880,47.0888671880
"0","238",0.0765972054,939.4845788900,-73.6045720410,-50.6725464920,37.5273437500,37.5273437500
"0","239",0.0768846756,942.3449304700,-73.6048497410,-50.6724721830,34.6669921880,34.6669921880
"0","240",0.0771721459,942.8976649200,-73.6051274410,-50.6723978740,34.1142578120,34.1142578120
